T	H	M
678.86	4,160	0.649
678.86	10,070	1.577
678.86	17,775	2.776
653.31	2,290	0.845
653.31	4,160	1.535
653.31	6,015	2.215
653.31	10,070	3.665
653.31	14,210	5.034
653.31	17,775	6.145
653.31	21,315	7.211
629.53	1,355	6.099
629.53	3,230	9.287
629.53	6,015	11.793
629.53	10,070	13.945
629.53	14,210	15.405
629.53	17,775	16.474
614.41	1,820	19.43
614.41	3,230	20
614.41	6,015	20.77
614.41	10,070	21.67
614.41	14,210	22.36
614.41	17,775	22.89
601.14	3,230	25.34
601.14	6,015	25.83
601.14	10,070	26.4
601.14	14,210	26.83
601.14	17,775	27.21
